Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92120,270000,33.0,8182,2
92270,259000,34.4,7529,1
92170,244000,29.13,8376,1
92100,263000,51.0,4804,2
92600,225000,26.0,8654,1
92260,290000,70.0,3929,4
92110,195000,28.0,6964,2
92420,249000,54.0,4611,2
92120,260000,36.0,7222,2
92120,239500,21.44,11200,2
92220,287000,42.0,6833,2
92150,195000,25.0,7400,2
92240,240000,32.76,7018,2
92270,265000,37.0,7162,1
92600,295000,63.0,4505,4
92320,249000,28.14,8849,1
92120,270000,33.0,8182,2
92380,265000,52.46,4766,3
92800,214000,29.0,7379,2
92000,200000,31.0,6452,2
92160,295000,46.0,6413,3
92150,199250,27.0,6852,1
92210,246000,32.02,7683,1
92220,237000,2 pièces,7683,1 chambre
92250,199000,22.0,9045,1
92400,198000,21.0,8905,1
92150,145000,17.0,8529,1
92290,261 640 à 278 520 €,44.35,8529,2
92150,199000,24.0,7875,2
92240,260000,47.0,5106,2
92800,266000,33.0,8061,2
92700,147000,19.0,7316,1
92600,290000,2 pièces,7316,1
92320,249000,30.16,7958,2
92120,220000,30.0,7333,2
92220,136700,19.0,7195,1
92700,185500,25.0,7180,1
92210,295000,46.65,6002,2
92700,300000,42.12,7123,2
92600,285000,46.15,6176,2
92500,257000,30.0,8567,1
92800,277500,25.0,11100,1
92120,299000,30.0,9967,1
92700,289000,38.0,7605,2
92500,295000,37.0,7973,1
92250,285000,30.0,9500,1
92500,230000,26.0,8846,1
92350,294000,40.0,7350,2
